,Ejected,M1,M2,Name1,Name2,NameCM,P,Semi,Simulation,Type1,Type2,TypeCM,X,Y,Z,e
150,False,48.633075700000006,72.56761170000001,3835,3839,9713,259846.391,394.384033,M6001,14,14,-1,-0.18041452800000002,-0.0248451233,-0.25310555100000004,0.287134856
407,True,36.1947784,54.33592610000001,3783.0,3784.0,13252.0,2457.68408,16.0037785,M6016,14.0,14.0,0.0,-41.766861,17.816738100000002,7.80254126,0.427296489
1244,False,17.1603127,19.3924026,3771.0,3772.0,13240.0,7147.083009999999,24.098995199999997,M6016,14.0,14.0,0.0,8.21437359,4.27470112,-3.28883767,0.617004097
23,True,35.8341675,7.18498516,3363.0,3364.0,9000.0,31020.4863,67.7006531,M6034,14.0,14.0,-1.0,-9.80671787,41.9447746,25.196682,0.277182102
27,True,11.1237345,32.2374039,3522.0,3521.0,9279.0,54542.7891,98.88527679999999,M6058,14.0,14.0,-1.0,-18.8282776,-34.584999100000005,-26.659187300000003,0.418192357
445,False,35.4788055,37.5711823,3535.0,3527.0,9395.0,32300026.0,8297.52344,M6058,14.0,14.0,-1.0,-0.402240694,0.310997397,-0.171068043,0.935010612
20,True,48.3644218,33.7715187,3287.0,3288.0,8521.0,84964.8594,164.41589399999998,M6075,14.0,14.0,-1.0,25.831377,30.3953075,4.14797354,0.7177769540000001
428,False,74.3294907,51.2868652,3294.0,3281.0,11544.0,1972215.75,1541.43372,M6075,14.0,14.0,0.0,0.455477536,-0.387174398,-0.292618245,0.9855860470000001
759,False,39.0731506,33.032546999999994,3277.0,3285.0,11527.0,11060.499,40.4370575,M6075,14.0,14.0,0.0,-3.18499851,1.0748955,-0.824625492,0.740695715
22,False,53.75401310000001,41.26442720000001,3623,3629,9100,23131.1309,72.50039670000001,M6153,14,14,-1,-2.39355564,-35.9462013,-29.364112899999995,0.285005242
310,False,41.7007523,24.786731699999997,3519,3525,12366,174496.672,247.57754500000001,M6165,14,14,0,-0.10517747699999999,-0.3565965,0.39653348899999996,0.892730951
